center,in_degree,out_degree,total_degree,weighted_in_degree,weighted_out_degree,weighted_total_degree,betweenness_centrality,pagerank,source_trips,source_delayed_trips,source_avg_delay_ratio,destination_trips,destination_delayed_trips,destination_avg_delay_ratio,total_trips_handled,total_delayed_trips_handled,hub_delay_rate,weighted_total_degree_scaled,betweenness_centrality_scaled,pagerank_scaled,hub_delay_rate_scaled,total_delayed_trips_handled_scaled,bottleneck_score
IND712311AAA,24,22,46,219,262,481,0.09065944258450837,0.00868964056488054,262.0,262.0,2.6325955545158672,219.0,219.0,4.871459293396612,481.0,481.0,1.0,0.2412060301507538,0.4116623305448329,0.4463165144550652,1.0,0.24935199585277346,0.4398831924428257
IND751002AAB,13,6,19,85,79,164,0.02158710036050378,0.0030824384002289106,79.0,79.0,3.326408613217149,85.0,85.0,2.256398267116688,164.0,164.0,1.0,0.08190954773869348,0.09802173707197165,0.15443432193020348,1.0,0.08501814411612234,0.23862240720612532
IND821115AAB,6,5,11,48,32,80,0.00919587735264868,0.0017295081595926198,32.0,32.0,2.109045985271127,48.0,48.0,5.558947721730552,80.0,80.0,1.0,0.039698492462311566,0.04175622742073506,0.08400771105114957,1.0,0.041472265422498704,0.1933860619943664
IND834002AAB,5,7,12,66,80,146,0.007908742842408938,0.0015419362774929668,80.0,80.0,2.8257074349392233,66.0,66.0,3.2725459970874624,146.0,146.0,1.0,0.07286432160804021,0.03591166476841057,0.07424368068527402,1.0,0.07568688439606014,0.20339576539057652
IND842001AAA,12,15,27,158,178,336,0.024698797378752718,0.004401678803031058,178.0,177.0,2.800655417727621,158.0,158.0,5.520025196847704,336.0,335.0,0.9970238095238095,0.16834170854271358,0.11215119132366427,0.22310721260369254,0.9970238095238095,0.17366511145671332,0.29034800563441143
IND000000ACK,0,1,1,0,32,32,0.0,0.00011567822643110314,32.0,32.0,3.2739130434782613,0.0,0.0,0.0,32.0,32.0,1.0,0.015577889447236183,0.0,0.0,1.0,0.01658890616899948,0.15638280828715895
IND000000ACN,1,1,2,11,16,27,3.648729512383788e-07,0.0002140096090239455,16.0,16.0,2.284313725490196,11.0,11.0,2.75,27.0,27.0,1.0,0.013065326633165831,1.6567987313571761e-06,0.005118627561912247,1.0,0.013996889580093312,0.15639000480737072
IND000000ACT,0,3,3,0,160,160,0.0,0.00011567822643110314,160.0,129.0,1.6813116074267622,0.0,0.0,0.0,160.0,129.0,0.80625,0.0798994974874372,0.0,0.0,0.80625,0.06687402799377916,0.15094347857092616
IND000000ADM,1,1,2,13,1,14,0.0,0.0004877074030614966,1.0,1.0,3.3076923076923075,13.0,12.0,1.4615384615384617,14.0,13.0,0.9285714285714286,0.006532663316582915,0.0,0.019365931273648804,0.9285714285714286,0.00673924313115604,0.14580295283926317
IND683511AAA,13,7,20,89,86,175,0.022768801903177316,0.0028916806182777187,86.0,74.0,1.5806468874511868,89.0,88.0,2.0831072737082676,175.0,162.0,0.9257142857142857,0.08743718592964825,0.1033875544341505,0.14450444995446163,0.9257142857142857,0.08398133748055987,0.22806141856106882
IND000000ADV,0,1,1,0,18,18,0.0,0.00011567822643110314,18.0,18.0,2.0533428165007113,0.0,0.0,0.0,18.0,18.0,1.0,0.008542713567839198,0.0,0.0,1.0,0.00933125972006221,0.15353536734996912
IND600044AAC,3,0,3,54,0,54,0.0,0.00041067237420963024,0.0,0.0,0.0,54.0,54.0,2.0859611854677644,54.0,54.0,1.0,0.02663316582914573,0.0,0.015355882685736743,1.0,0.027993779160186624,0.16392853486846176
IND000000AEM,0,2,2,0,22,22,0.0,0.00011567822643110314,22.0,22.0,3.25682261208577,0.0,0.0,0.0,22.0,22.0,1.0,0.010552763819095479,0.0,0.0,1.0,0.011404872991187143,0.15434892190345195
IND110037AAB,1,0,1,11,0,11,0.0,0.0001648439177275243,0.0,0.0,0.0,11.0,11.0,4.421052631578948,11.0,11.0,1.0,0.005025125628140704,0.0,0.002559313780956124,1.0,0.005702436495593571,0.15262350963756544
