source_center,destination_center,trips,median_actual_time,mean_actual_time,median_osrm_time,mean_osrm_time,median_distance,median_osrm_distance,median_delay_ratio,mean_delay_ratio,delay_rate,delayed_trips,corridor
IND242307AAB,IND207247AAB,5,293.0,285.0,132.0,132.2,75.74674206062018,139.6498,2.210526315789474,2.1557416267942586,1.0,5,IND242307AAB -> IND207247AAB
IND242307AAB,IND242221AAA,5,60.0,63.2,41.0,41.2,29.65523535281603,50.1024,1.4634146341463414,1.535191637630662,1.0,5,IND242307AAB -> IND242221AAA
IND243001AAA,IND243503AAB,13,62.0,67.84615384615384,27.0,27.23076923076923,24.18265391855269,27.4398,2.2962962962962963,2.4804229565502776,1.0,13,IND243001AAA -> IND243503AAB
IND243001AAA,IND244901AAB,2,91.0,91.0,45.0,45.0,56.50992927312856,60.4207,2.0222222222222226,2.0222222222222226,1.0,2,IND243001AAA -> IND244901AAB
IND243002AAA,IND243503AAB,1,59.0,59.0,27.0,27.0,24.08820897614652,26.236,2.185185185185185,2.185185185185185,1.0,1,IND243002AAA -> IND243503AAB
IND243201AAA,IND262001AAA,4,89.0,88.25,44.0,43.75,34.93786238214848,45.21255,2.0204545454545455,2.019426406926407,1.0,4,IND243201AAA -> IND262001AAA
IND243301AAB,IND244901AAB,10,113.5,158.1,85.0,85.2,57.2490765456227,69.70885000000001,1.3430672268907564,1.8564369276178794,0.8,8,IND243301AAB -> IND244901AAB
IND243301AAB,IND244901AAC,2,109.0,109.0,85.0,85.0,57.698472067151584,69.31265,1.2823529411764705,1.2823529411764705,0.5,1,IND243301AAB -> IND244901AAC
IND243503AAB,IND244901AAB,11,183.0,229.36363636363637,66.0,66.0,81.36921425229303,93.7487,2.772727272727273,3.4783507763154984,1.0,11,IND243503AAB -> IND244901AAB
IND244001AAA,IND263153AAB,16,177.0,180.125,89.5,90.0625,67.66884161725493,92.33619999999999,1.9661686627978763,2.0001729803841863,1.0,16,IND244001AAA -> IND263153AAB
IND244221AAA,IND131028AAB,21,243.0,242.28571428571428,127.0,128.57142857142858,130.30622411506107,163.4916,1.873015873015873,1.885198202752818,1.0,21,IND244221AAA -> IND131028AAB
IND244235AAA,IND244901AAB,20,91.5,105.5,103.0,102.95,73.57951084507133,105.6397,0.8883495145631068,1.0246222854339646,0.2,4,IND244235AAA -> IND244901AAB
IND244301AAA,IND244412AAA,11,50.0,50.18181818181818,31.0,30.818181818181817,26.076135642302635,28.7669,1.6129032258064515,1.6222112906971082,1.0,11,IND244301AAA -> IND244412AAA
IND244412AAA,IND243301AAB,10,64.5,64.7,88.0,87.9,38.84979464039855,97.2619,0.7329545454545454,0.735863477862703,0.0,0,IND244412AAA -> IND243301AAB
IND244412AAA,IND244901AAB,3,159.0,161.33333333333334,80.0,79.66666666666667,44.15869747263046,81.0512,1.9875,2.0219409282700425,1.0,3,IND244412AAA -> IND244901AAB
